Index,Motivation,Communication,Visual,Verbal,Sensing,Intuitive,Sequential,Global
1,2.8,2.7,2,2,2.7,3.7,1.7,2.7
2,2.0,2.0,2,2,2.0,2.0,2.0,2.0
3,3.0,2.7,3.5,3,3.0,3.0,2.7,3.0
4,2.0,2.0,2,2.5,2.0,2.3,2.7,2.0
5,3.0,2.0,2.5,2,2.3,2.3,2.7,2.7
6,2.0,1.7,2,2,1.7,1.7,2.0,2.0
7,3.0,3.3,2,3.5,3.0,2.7,2.3,2.3
8,3.0,2.7,3,3,2.7,3.0,3.0,2.7
9,1.5,2.0,1.5,2,1.7,2.0,1.7,2.3
10,2.5,2.3,2.5,2.5,2.7,2.0,2.3,2.0
11,4.0,4.0,4,4,4.0,3.3,3.0,4.0
12,2.8,2.3,2.5,2.5,3.0,2.7,2.7,2.7
13,3.0,2.7,2.5,3,2.7,2.7,2.7,2.7
14,3.8,2.0,4,4,4.0,3.7,3.0,3.0
15,2.3,2.0,2,2,2.0,2.0,2.0,2.0
16,2.3,2.0,2.5,2,3.0,3.0,2.7,1.7
17,2.0,2.0,2,2,2.0,2.0,2.0,2.0
18,2.5,3.7,3,2,2.3,3.0,2.0,2.7
19,2.0,2.0,2,2,2.0,2.0,2.0,2.0
20,2.0,3.0,2.5,2.5,2.3,2.7,2.0,2.3
21,1.8,1.3,1.5,1.5,1.7,2.0,1.0,1.7
22,2.3,1.7,2,2.5,2.3,2.3,2.7,2.3
23,3.0,3.7,3,2,3.3,3.3,4.0,2.7
24,3.0,2.7,3,3,3.0,3.0,2.7,3.0
25,1.8,2.3,2,2.5,1.7,2.0,1.7,2.3
26,2.8,3.0,2.5,2.5,2.7,2.7,1.7,2.0
27,2.8,3.0,4,2,3.0,3.3,2.3,3.0
28,2.3,2.0,3,2,2.3,2.7,2.0,1.7
29,2.8,3.3,1.5,3.5,4.0,2.7,3.3,3.0
30,1.8,1.7,2.5,2.5,3.0,2.0,2.0,2.0
31,2.3,2.7,2.5,3,2.3,3.0,2.3,2.3
32,3.0,2.7,2.5,2.5,2.3,2.0,1.7,1.7
33,3.5,4.0,4,4,3.7,3.7,3.0,3.7
34,2.3,2.3,2.5,2,2.0,2.0,2.0,2.0
35,1.8,2.0,1.5,3.5,3.3,2.3,2.0,2.7
36,2.8,2.0,3,3.5,3.0,2.3,3.0,2.7
37,2.0,1.3,2,2.5,2.3,1.7,2.7,1.7
